Total original B.O,XGBoost predictions
12850033.0,14775529.0
53401938.0,79678850.0
19637147.0,31684554.0
37497480.0,54791796.0
9205935.0,11894123.0
23689877.0,103541940.0
23106971.0,76473580.0
874000.0,239403090.0
57138719.0,75755090.0
116280867.0,55823836.0
172878928.0,261136560.0
2853801.0,64540060.0
10885816.0,6324981.5
27789904.0,71524330.0
57697426.0,167807280.0
2053931.0,109359640.0
18120267.0,28641650.0
167851995.0,170229060.0
78652207.0,188764050.0
68336997.0,57514892.0
710644566.0,229640560.0
96971293.0,101057304.0
47289148.0,16730559.0
21375166.0,35913120.0
21156152.0,18009356.0
7785229.0,10218509.0
38959900.0,76840790.0
96096018.0,139489000.0
529076069.0,229640560.0
254310003.0,132847820.0
4271022.0,64540060.0
15427.0,288368580.0
94029472.0,18110810.0
74870866.0,24062586.0
27731527.0,31325530.0
18100189.0,20104008.0
37336874.0,65064964.0
266600000.0,65332930.0
19123851.0,27294210.0
18413804.0,30656474.0
33592700.0,17302936.0
9000000.0,37653044.0
157300954.0,35351650.0
46829309.0,76840790.0
2354875.0,4562360.5
1887554.0,39289468.0
6000000.0,20362724.0
12500000.0,40304500.0
13205411.0,24062586.0
211562435.0,176748740.0
36734619.0,74052270.0
305384865.0,312242880.0
234723148.0,310946850.0
12254746.0,24064444.0
7862131.0,29730756.0
4205944.0,18521488.0
86432520.0,64880764.0
149270999.0,239838660.0
4027663.0,9277257.0
9561231.0,30892514.0
56445534.0,89692170.0
213966221.0,28641650.0
74156610.0,157847870.0
153302565.0,31056998.0
11279884.0,62815250.0
12624174.0,23241856.0
15461638.0,19810724.0
17400005.0,20967946.0
29083597.0,23487814.0
13736872.0,36152380.0
33339868.0,76840790.0
7190505.0,20337190.0
42446455.0,38609870.0
43164679.0,40320196.0
22750356.0,42400064.0
41598366.0,57141260.0
17224992.0,19810724.0
220648184.0,261136560.0
60217171.0,56683084.0
20741000.0,22493966.0
3988612.0,18521488.0
784206372.0,277839550.0
1188194.0,10205800.0
151716815.0,92169736.0
77593167.0,66460560.0
62761005.0,52098140.0
157670733.0,71524330.0
138708527.0,138454050.0
11131455.0,20967946.0
342769200.0,261136560.0
22099706.0,46591772.0
297718711.0,535148500.0
76346094.0,92229120.0
42425450.0,15561414.0
101134059.0,79678850.0
52743674.0,30423748.0
65532491.0,56683084.0
391081192.0,216029180.0
195300000.0,30423748.0
235900000.0,211644940.0
4730228.0,76473580.0
4348025.0,97962490.0
27484464.0,31325530.0
25942000.0,103541940.0
292203.0,72061416.0
1507310.0,4562360.5
257767797.0,312242880.0
4581937.0,11744310.0
23014027.0,10218509.0
7736103.0,21169588.0
7195105.0,18521488.0
72270895.0,71524330.0
49628177.0,56683084.0
217194805.0,618565100.0
3107000.0,20362724.0
21000000.0,19528536.0
15728335.0,23137460.0
6093725.0,10205800.0
114770654.0,106819190.0
1434847.0,16071659.0
6487257.0,17302936.0
441286003.0,65332930.0
28992658.0,27294210.0
89476265.0,119548584.0
190506000.0,239403090.0
21410546.0,56683084.0
183015237.0,239403090.0
21709539.0,67578376.0
127361412.0,92473410.0
39549758.0,42400064.0
4911725.0,16051203.0
9285189.0,23309626.0
39381963.0,71524330.0
43070915.0,67578376.0
70112484.0,100380410.0
67312826.0,91189390.0
263591415.0,20941266.0
173559438.0,239838660.0
305502.0,72061416.0
69995047.0,38844396.0
399866199.0,262918980.0
33086611.0,41081140.0
20423389.0,23275048.0
7445044.0,35351650.0
101379287.0,171402660.0
70712099.0,161148480.0
28153434.0,74052270.0
1131683.0,5571039.5
7393346.0,23137460.0
1237615.0,11894123.0
12617472.0,20104008.0
42245180.0,70581420.0
3281232.0,97554760.0
2509344.0,28641650.0
55337042.0,41081140.0
57512470.0,48347948.0
10006000.0,22802016.0
124033872.0,91217080.0
227328585.0,76840790.0
1236094.0,62815250.0
9289349.0,65332930.0
33473297.0,100355780.0
155620350.0,67046932.0
3859755.0,57402180.0
158411.0,8104340.0
6343015.0,28307628.0
259425249.0,62815250.0
40055897.0,51341420.0
377002.0,72061416.0
164800000.0,181127040.0
72004159.0,53014496.0
8593154.0,278713730.0
200238.0,6055030.0
6342668.0,30423748.0
192617891.0,43086468.0
316479150.0,261136560.0
1301562.0,9277257.0
10000000.0,38844396.0
118729073.0,130541290.0
610432.0,10218509.0
3016496.0,19528536.0
67130045.0,65013948.0
122529966.0,171402660.0
87950928.0,216029180.0
4907779.0,19429210.0
74433837.0,70581420.0
504050219.0,64540060.0
20408260.0,30892514.0
144123.0,8104340.0
230677636.0,35351650.0
117729618.0,127485304.0
20005613.0,8879470.0
55307857.0,66460560.0
11285154.0,76473580.0
5835247.0,21169588.0
2769756.0,43086468.0
139716717.0,127485304.0
381367046.0,312242880.0
25913869.0,20967946.0
5855392.0,20362724.0
23661038.0,40115070.0
25852508.0,17513674.0
2000093.0,16690550.0
162778384.0,161148480.0
75997067.0,68307880.0
32589493.0,67578376.0
24716190.0,27294210.0
4360548.0,14133161.0
3623609.0,4562360.5
13587246.0,41154000.0
13994920.0,22802016.0
266824291.0,64540060.0
16235738.0,19810724.0
3098590.0,17302936.0
33000000.0,103541940.0
5520368.0,16730559.0
208300000.0,211644940.0
2654096.0,501637150.0
4000000.0,38844396.0
435412594.0,381398900.0
124221.0,229640560.0
5299037.0,97554760.0
