Total original B.O,KNN predictions
60217171.0,32225972.490866203
20741000.0,25732598.124761187
3988612.0,2033349.5328115285
784206372.0,547196670.1898843
1188194.0,71982804.59530167
151716815.0,365476130.6221135
77593167.0,55994436.8764927
62761005.0,192225974.47971967
157670733.0,114488480.37780534
138708527.0,96313423.76237229
11131455.0,68960797.22984484
342769200.0,147877293.0442316
22099706.0,71220698.13140935
297718711.0,179027237.98139933
76346094.0,90884975.01625887
42425450.0,31710493.974446867
101134059.0,130715881.93397553
52743674.0,15563983.244807716
65532491.0,89259360.27258661
391081192.0,593641841.1037837
195300000.0,186275084.30425438
235900000.0,561324302.2120249
4730228.0,33238163.251213454
4348025.0,6892513.202182597
27484464.0,28708607.86496923
25942000.0,16732550.798033683
292203.0,40906563.4015258
1507310.0,31338720.800080907
257767797.0,560910804.6436687
4581937.0,6817344.866999805
23014027.0,98618921.3543348
7736103.0,35826355.06816157
7195105.0,26271668.05257559
72270895.0,26852248.963564787
49628177.0,273062491.8720202
217194805.0,170062003.1538364
3107000.0,7752191.191572101
21000000.0,23338117.159032922
15728335.0,115062307.6918404
6093725.0,49478735.74725144
114770654.0,20020281.820138134
1434847.0,48795580.81661296
6487257.0,51094539.697457425
441286003.0,103377533.43419655
28992658.0,30918187.61118574
89476265.0,103415880.24473277
190506000.0,102635453.30543955
21410546.0,55507674.794689
183015237.0,210746865.92786008
21709539.0,53966077.17246985
127361412.0,112223638.41708581
39549758.0,399050357.4292398
4911725.0,8301930.657453859
9285189.0,51531152.92073375
39381963.0,22253119.141153518
43070915.0,79010121.44541173
70112484.0,35768011.76580931
67312826.0,92166299.15593772
263591415.0,46331006.03192825
173559438.0,106968507.97357966
305502.0,71666939.74144164
69995047.0,53134654.75452826
399866199.0,826822964.383512
33086611.0,16902856.75490673
20423389.0,91788582.91783187
7445044.0,24272145.120546754
101379287.0,77421324.47808632
70712099.0,8897108.833267491
28153434.0,23729500.103567716
1131683.0,67607836.23146255
7393346.0,55848736.52057879
1237615.0,34918031.25202637
12617472.0,48554215.9075416
42245180.0,160204328.54619753
3281232.0,13886665.755811194
2509344.0,67072077.334077075
55337042.0,60265359.44174364
57512470.0,73780994.27727161
10006000.0,114700259.54704186
124033872.0,80231925.76142314
227328585.0,69066874.15636583
1236094.0,7228661.010437179
9289349.0,161899827.70330587
33473297.0,23789835.621306583
