Total original B.O,NeuralNetwork predictions
78652207.0,121996305.18418998
68336997.0,25391830.164492954
710644566.0,94648709.84896782
96971293.0,16461228.826152897
47289148.0,21070566.14032842
21375166.0,31814267.347846434
21156152.0,64565783.31474766
7785229.0,53030386.68123709
38959900.0,98609754.12683292
96096018.0,15535934.51270745
529076069.0,94757231.94484363
254310003.0,160304695.9588575
4271022.0,42432379.58244235
15427.0,172242124.3126667
94029472.0,59352242.00494006
74870866.0,19605523.55260644
27731527.0,38667047.22601366
18100189.0,76145633.58033858
37336874.0,138220385.44276407
266600000.0,39584241.7359305
19123851.0,4248038.993358375
18413804.0,101105762.33459361
33592700.0,35649950.81767568
9000000.0,75041141.26474653
157300954.0,128778958.66494524
46829309.0,98555487.02709496
2354875.0,90524841.08226666
1887554.0,103167684.59560502
6000000.0,50759561.67340205
12500000.0,79168546.457519
13205411.0,20256643.150674123
211562435.0,58130942.74241549
36734619.0,74558404.73527057
305384865.0,135290287.19272533
234723148.0,23171252.028619498
12254746.0,42232416.46429557
7862131.0,63882610.6264383
4205944.0,155583954.3165186
86432520.0,71541304.0812115
149270999.0,20081746.561181586
4027663.0,79292778.58711034
9561231.0,153467769.58453232
56445534.0,48852275.31758372
213966221.0,18416310.295347825
74156610.0,84990207.7426481
153302565.0,77647915.76635134
11279884.0,117438367.6511127
12624174.0,169800379.220917
15461638.0,10109813.775677707
17400005.0,7240995.2363390215
29083597.0,114833829.29766032
13736872.0,143483721.2135624
33339868.0,98718278.64766075
7190505.0,48152791.375386044
42446455.0,126934076.96953921
43164679.0,140824925.52055764
22750356.0,63068692.912501715
41598366.0,112229298.30974269
17224992.0,9024590.630875057
220648184.0,83362377.48462564
60217171.0,51402553.81634405
20741000.0,20902395.865448907
3988612.0,155041343.79940802
784206372.0,6758253.904605692
1188194.0,65836014.51087803
151716815.0,86129706.13972759
77593167.0,17000978.529434085
62761005.0,18995590.912074886
157670733.0,47259726.363255
138708527.0,38542657.364693955
11131455.0,7289272.262529487
342769200.0,83036806.4578782
22099706.0,434430.9435283788
297718711.0,147824620.04743686
76346094.0,149723754.094712
