,Title,MPAA Rating,Keywords,Source,Production method,Creative type,Countries,Total original B.O
881,The Bride,['PG-13'],"['Gothic Horror', 'Mad Scientist', 'Scientific Experiment Gone Awry', 'Romance', 'Relationships Gone Wrong', 'Love Triangle', ""Frankenstien's Monster"", 'Cult Movie']",['Based on Fiction Book/Short Story'],['Live Action'],['Fantasy'],"['United Kingdom', 'United States']",3600000.0
882,Turk 182!,['Not Rated'],"['Comedy Drama', 'Firefighter', 'Career-Ending Injury', 'Addiction', 'Government Bureaucracy', 'Suicide', 'Romance', 'Politicians', 'Graffitti Artists']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],3563635.0
883,Starchaser: The Legend of Orin,['PG'],['3-D - Shot in 3-D'],['Original Screenplay'],['Hand Animation'],['Science Fiction'],"['Republic of Korea', 'United States']",3360800.0
884,Gymkata,['R'],"['Action Thriller', 'Martial Arts', 'Gymnastics', 'Famously Bad', 'Cult Movie', 'Father’s Footsteps', 'Fictional Country', 'Terrorism', 'Kidnap', 'Prince/Princess', 'Rescue', 'Betrayal', 'Coup d’Etat', 'Royalty', 'Missing Person', 'Epilogue']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],"['Japan', 'United States']",3249442.0
885,Twice in a Lifetime,['R'],"['Family Drama', 'Relationships Gone Wrong', 'Dysfunctional Family', 'Infidelity', 'Adult Child of Divorce', 'Children Dealing with Divorce', 'Wedding Day']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],7681246.0
886,Maxie,['Not Rated'],['Romance'],['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],2600000.0
887,Gojira,['Not Rated'],['Monster'],['Remake'],['Live Action'],['Science Fiction'],"['Japan', 'United States']",2443200.0
888,Re-Animator,['Not Rated'],"['Zombies', 'Body Horror']",['Based on Fiction Book/Short Story'],['Live Action'],['Science Fiction'],['United States'],2023000.0
889,The Slugger's Wife,['Not Rated'],['Baseball'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],1878000.0
890,American Flyers,['PG-13'],['Miscellaneous Sports'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],1420355.0
891,Wetherby,['R'],"['Non-Chronological', 'World War II']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],1136052.0
892,Ran,['R'],"['Retirement', 'Feudal Japan', 'Civil War', 'Revenge', 'Betrayal', 'Suicide', 'Assassination', 'Sibling Rivalry', 'Buddhism']",['Based on Play'],['Live Action'],['Historical Fiction'],"['France', 'Japan']",2177642.0
893,Fever Pitch,['R'],['Gambling'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],610333.0
894,Joshua Then and Now,['Not Rated'],['Romance'],['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['Canada'],542420.0
895,Runaway Train,['R'],"['Trains', 'Runaway Train', 'Prison Break', 'Fugitive / On the Run', 'Action Thriller']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],7936012.0
896,Mishima: A Life in Four Chapters,['Not Rated'],"['Segments', 'Biography']",['Based on Fiction Book/Short Story'],['Live Action'],['Dramatization'],['United States'],437547.0
897,Key Exchange,['R'],['Romance'],['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],425000.0
898,Subway,['R'],"[""Rock 'n' Roll"", 'Foreign Language']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['France'],1663296.0
899,Def-Con 4,['Not Rated'],['Post Apocalypse'],['Original Screenplay'],['Live Action'],['Science Fiction'],['Canada'],210904.0
900,Revolution,['PG-13'],['1700s'],['Original Screenplay'],['Live Action'],['Historical Fiction'],['United Kingdom'],346761.0
901,Top Gun,['PG'],"['In a Plane', 'War', 'Intertitle', '3D Re-release', '3-D', 'IMAX: DMR']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],357463748.0
902,Crocodile Dundee,['PG-13'],"['Country Mouse, City Mouse', 'Romance', 'Culture Clash', 'Writing and Writers', 'Suicide Attempt', 'LGBTQ+', 'Relationships Gone Wrong', 'Set in New York']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],"['Australia', 'United States']",328203506.0
903,"The Karate Kid, Part II",['PG'],"['Martial Arts', 'Sports Action', ""You Can't Go Home Again"", 'Revenge', 'Arranged Marriage', 'Love Triangle', 'Extreme Weather', 'Dysfunctional Family', 'Hostage', 'Death Sports']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],115103979.0
904,Back to School,['PG-13'],"['College', 'Rags to Riches', 'Farcical / Slapstick Comedy']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],91258000.0
905,Aliens,['R'],"['Parasite', 'Corporate Malfeasance', 'Nightmare', 'Dream Sequence', 'Action Horror']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],183291893.0
906,Star Trek IV: The Voyage Home,['PG'],"['Visual Effects', 'Time Travel']",['Based on TV'],['Live Action'],['Science Fiction'],['United States'],133000000.0
